030331,Halibut (Except Livers Or Roes) - Frozen (Excl Fish Fillets)
030332,Plaice (Except Livers Or Roes) - Frozen (Excl Fish Fillets)
030333,Sole (Except Livers Or Roes) - Frozen (Excl Fish Fillets)
030334,Turbots (Frozen Fish) (Excl Fish Fillets)
030339,Flat Fish Nes (Except Livers Or Roes) - Frozen (Excl Fish Fillets)
030341,"Tunas, Albacore/Longfinned (Except Livers/Roes) - Frozen (Excl Fish Fillets)"
030342,"Tunas, Yellowfin (Except Livers Or Roes) - Frozen (Excl Fish Fillets)"
030343,Skipjack/Stripe-Bellied Bonito (Except Livers/ Roes) - Frozen (Excl Fillets)
030344,Bigeye Tunas  (Except Livers/ Roes) - Frozen (Excl Fillets)
030345,Bluefin Tunas (Except Livers/ Roes) - Frozen (Excl Fillets)
030349,Tunas Nes (Except Livers Or Roes) - Frozen (Excl Fish Fillets)
030351,"Herrings, Frozen, Excluding Heading  03.04, Livers And Roes"
030353,"Sardines, Sardinella, Brisling Or Sprats (Frozen Fish) (Excl Fish Fillets)"
030354,Mackerel (Frozen Fish) (Excl Fish Fillets)
030355,Jack And Horse Mackerel (Frozen Fish) (Excl Fish Fillets)
030357,Swordfish (Frozen Fish) (Excl Fish Fillets)
030363,Fish Of The Families [Excluding Livers And Roes] Cod (Frozen Fish) (Excl Fish Fillets)
030364,Fish Of The Families [Excluding Livers And Roes] Haddock (Frozen Fish) (Excl Fish Fillets)
030365,Fish Of The Families [Excluding Livers And Roes] Coalfish (Frozen Fish) (Excl Fish Fillets)
030366,Fish Of The Families [Excluding Livers And Roes] Hake (Frozen Fish) (Excl Fish Fillets)
030367,Fish Of The Families [Excluding Livers And Roes] Alaska Pollack (Frozen Fish) (Excl Fish Fillets)
030369,Fish Of The Families [Excluding Livers And Roes] Other (Frozen Fish) (Excl Fish Fillets)
030381,"Other Fish, Excluding Livers And Roes: Dogfish And Other Sharks (Frozen Fish) (Excl Fish Fillets)"
030382,"Other Fish, Excluding Livers And Roes: Rays And Skates  (Frozen Fish) (Excl Fish Fillets)"
030383,"Other Fish, Excluding Livers And Roes: Toothfish (Frozen Fish) (Excl Fish Fillets)"
030384,"Other Fish, Excluding Livers And Roes: Seabass (Frozen Fish) (Excl Fish Fillets)"
030389,"Other: Other Fish, Excluding Livers And Roes (Frozen Fish) (Excl Fish Fillets)"
030390,Other Fish: Livers And Roes (Frozen Fish) (Excl Fish Fillets)
030431,Tilapias (Fresh Or Chilled) (Fish Fillets)
030432,"Catfish (Fresh, Or Chilled) (Fish Fillets)"
030433,Nile Perch (Fresh Or Chilled) (Fish Fillets)
